pH,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
8.43,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,29.2,128,9.9,267,0.98,1,0.3,NA,NA,270,NA,NA,NA,0,0,1,1
8.49,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,29.1,136,10.4,267,0.95,1.8,0.5,NA,NA,274,NA,NA,NA,1,1,1,1
8.53,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,29.1,136,10.5,267,1.4,2,0.5,NA,NA,272,NA,NA,NA,2,2,1,1
8.53,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,29,NA,10.3,267,1.08,1.9,0.5,NA,NA,272,NA,NA,NA,3,3,1,1
8.54,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,28.8,136,10.5,264,1,2.1,0.5,NA,NA,273,NA,NA,NA,4,4,0.5,0.5
8.5,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,28.7,132,10.4,265,1,2,0.5,NA,NA,277,NA,NA,NA,4.5,4.5,0.5,0.5
8.13,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,25.7,103,8.7,255,1.05,1.9,1.4,NA,NA,290,NA,NA,NA,5,5,0.5,0.5
7.83,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,25,78,6.3,255,0.73,1.3,1.6,NA,NA,298,NA,NA,NA,5.5,5.5,0.5,0.5
7.53,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,24.8,54,4.4,255,0.56,1.2,1.6,NA,NA,304,NA,NA,NA,6,6,0.5,0.5
7.46,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,24.7,46,3.8,255,0.51,1.2,1.5,NA,NA,306,NA,NA,NA,6.5,6.5,0.5,0.5
7.37,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,24.6,36,2.9,255,0.4,1.1,1.3,NA,NA,307,NA,NA,NA,7,7,1,1
7.2,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,24.3,15,1.1,254,0.29,0.8,0.7,NA,NA,309,NA,NA,NA,8,8,1,1
7.13,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,23.7,2,0.2,253,0.27,0.7,0.7,NA,NA,308,NA,NA,NA,9,9,1,1
7.09,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,21,1,0,249,0.6,0.6,0.4,NA,NA,229,NA,NA,NA,10,10,2,2
6.9,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,14.4,0,0,214,1.27,0.4,0.4,NA,NA,211,NA,NA,NA,12,12,2,2
6.94,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,12.8,0,0,203,2.55,0.4,0.3,NA,NA,223,NA,NA,NA,14,14,2,2
6.92,2018-09-20,2018-09-20T12:00:00Z,092,NA,NA,12.3,0,0,200,3.3,0.4,0.3,NA,NA,228,NA,NA,NA,16,16,1.6999999999999993,1.6999999999999993
